id,name,start_date
Q110969032,Trendad,2019-01-01T00:00:00Z
Q2055692,Marjane,1990-01-01T00:00:00Z
Q55361226,Easydis,2016-01-01T00:00:00Z
Q22683621,Bricoma,2004-01-01T00:00:00Z
Q56300032,Afriquia,1965-01-01T00:00:00Z
Q114671099,ALSA Khouribga,
Q2819353,AREP,1997-01-01T00:00:00Z
Q114853679,City Bus Fès,
Q17061030,Jumia,2012-01-01T00:00:00Z
Q114727483,City Bus Meknès,
Q109311658,Electroplanet,
Q114771384,Casabus,
Q2401659,Maghreb Arabe Presse,1959-05-31T00:00:00Z
Q2871743,Aujourd'hui Le Maroc,2000-01-01T00:00:00Z
Q2868678,Aswak Assalam,1998-01-01T00:00:00Z
Q3211148,La Nouvelle Tribune,1995-01-01T00:00:00Z
Q328198,Bank Al-Maghrib,1959-01-01T00:00:00Z
Q3139309,Holmarcom Group,1978-01-01T00:00:00Z
Q98183377,Q98183377,1999-01-01T00:00:00Z
Q1138480,UGG,1978-01-01T00:00:00Z
Q2300433,Bank of Africa,1959-01-01T00:00:00Z
Q114679539,ALSA Marrakech,
Q2829178,Akwa Group,1959-01-01T00:00:00Z
Q56240889,Hmizate,2011-01-01T00:00:00Z
Q2883441,People's Bank of Morocco,1961-05-25T00:00:00Z
Q2871743,Aujourd'hui Le Maroc,2001-01-01T00:00:00Z
Q28789756,Hilton Garden Inn Tanger City Center,2016-03-01T00:00:00Z
Q114666905,Alsa Tanger,
Q111515591,Paramegador,
Q97304034,Walveey,2019-11-01T00:00:00Z
Q114707454,ALSA Agadir,
Q45472344,Hilton Tanger City Center Hotel & Residences,2017-06-01T00:00:00Z
Q3349576,Office de la formation professionnelle et de la promotion du travail,1974-01-01T00:00:00Z
Q3197636,KITEA,1993-01-01T00:00:00Z
Q1360237,Mohammed V University,1957-01-01T00:00:00Z
Q4808310,Assabah,2000-01-01T00:00:00Z
Q19893933,Amanjena,2000-01-01T00:00:00Z
Q105653472,Elveey,2020-12-01T00:00:00Z
Q97578161,La Marocaine des Jeux et des Sports,
Q114853749,Foughal Bus Kenitra,
Q114853700,Vitalis Transport,
Q42794743,RMA,1949-01-01T00:00:00Z
Q758052,Attijariwafa Bank,1904-01-01T00:00:00Z
Q114853646,Vectalia Safi,
Q18384641,Masen,2010-01-01T00:00:00Z
Q73139954,Hilton Tangier Al Houara Resort & Spa,2019-01-01T00:00:00Z
Q114853598,Vectalia Nador,
Q866103,Royal Air Maroc,1957-01-01T00:00:00Z
