id,name,start_date
Q5384667,Equity Bank Tanzania,2012-01-01T00:00:00Z
Q4050564,TANESCO,1964-01-01T00:00:00Z
Q6974322,NMB Bank Plc,1997-01-01T00:00:00Z
Q108057456,Puaz Wear,
Q5013848,CRDB Bank,1996-01-01T00:00:00Z
Q25339999,Diamond Trust Bank,1945-01-01T00:00:00Z
Q7857932,Twiga Cement,1966-01-01T00:00:00Z
Q1630751,Young Africans S.C.,1935-02-11T00:00:00Z
Q106580836,Vunjabei Group Limited,2016-01-01T00:00:00Z
Q25054185,Swala Gas and Oil,2011-01-01T00:00:00Z
Q106957508,Kibo Peak Palace Hotel,2014-12-20T00:00:00Z
Q7939274,Vodacom Tanzania,1999-01-01T00:00:00Z
Q115209426,Tanzania Safari Channel,
Q4832231,Azania Bank,1995-01-01T00:00:00Z
Q115209378,Hope Channel Tanzania,
Q17097901,Tanzania Telecommunications Company Limited,1993-01-01T00:00:00Z
Q407842,Air Tanzania,1977-01-01T00:00:00Z
Q957305,Precision Air,1991-01-01T00:00:00Z
